Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
57.0,126,53,1013,0.0,101,93,502,158,18,2946,NE,,2010,2010-01-01
0.0,0,0,507,0.0,4,0,178,53,0,864,NH,,2010,2010-01-01
439.0,6077,20687,10614,0.0,"4,659",22,968,11754,0,56497,NJ,,2010,2010-01-01
35.0,323,71,52,0.0,730,0,0,375,0,2466,NM,,2010,2010-01-01
15.0,476,97,0,0.0,0,367,10,67,166,1805,NV,,2010,2010-01-01
2673.0,5568,13245,29142,11.0,"2,150",941,1131,7659,327,70070,NY,,2010,2010-01-01
1761.0,5466,25314,2147,0.0,"2,470",370,3601,12342,149,59977,OH,,2010,2010-01-01
70.0,525,600,148,0.0,66,155,183,457,67,3982,OK,,2010,2010-01-01
130.0,375,755,77,0.0,"3,467",119,455,372,186,7222,OR,,2010,2010-01-01
1622.0,4464,10721,1511,0.0,"3,278",1754,1806,45396,786,75413,PA,,2010,2010-01-01
0.0,0,0,55,0.0,"3,469",0,39,0,0,3588,PR,,2010,2010-01-01
8.0,0,3,151,0.0,26,332,169,303,47,1537,RI,,2010,2010-01-01
192.0,324,232,32,1.0,30,18,342,274,14,3026,SC,,2010,2010-01-01
18.0,11,3,39,0.0,9,841,136,13,84,1222,SD,,2010,2010-01-01
197.0,549,310,986,0.0,257,144,1271,354,11,7404,TN,,2010,2010-01-01
367.0,1053,17761,3657,0.0,"4,493",4684,2820,15636,845,68749,TX,,2010,2010-01-01
383.0,678,2225,5565,0.0,7,89,308,1217,280,12094,UT,,2010,2010-01-01
47.0,199,226,415,0.0,139,132,3740,439,57,7567,VA,,2010,2010-01-01
9.0,13,295,107,0.0,0,8,34,4,1716,2386,VT,,2010,2010-01-01
320.0,1009,4278,227,0.0,"4,194",276,954,1371,24,34120,WA,,2010,2010-01-01
311.0,5544,1634,1681,0.0,"7,128",586,1211,6161,115,29959,WI,,2010,2010-01-01
61.0,36,10,43,0.0,0,0,13,330,125,618,WV,,2010,2010-01-01
25.0,44,6,3,0.0,0,56,0,15,144,351,WY,,2010,2010-01-01
0.0,0,0,42,,0,0,0,0,0,461,AK,,2012,2012-01-01
157.0,1156,203,42,,223,497,777,770,49,4951,AL,,2012,2012-01-01
123.0,417,168,2,,110,298,865,1086,0,3085,AR,,2012,2012-01-01
90.0,335,60,107,,34,33,495,180,40,5328,AZ,,2012,2012-01-01
1251.0,2926,13180,4317,,"4,193",11798,4513,31867,2208,101195,CA,,2012,2012-01-01
366.0,697,2466,1020,,0,228,579,449,607,8076,CO,,2012,2012-01-01
