Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Year,date_year
0,0,0,0,,0,0,0,0,0,0,AR,2013,2013-01-01
0,0,0,0,,0,0,0,24,0,41,AZ,2013,2013-01-01
0,6,201,651,,72,0,0,739,0,3112,CA,2013,2013-01-01
1,5,323,419,,0,0,0,0,27,858,CO,2013,2013-01-01
0,2,0,856,,0,0,0,12,0,871,CT,2013,2013-01-01
0,0,498,0,,0,0,0,0,0,660,DC,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,DE,2013,2013-01-01
0,5,14,0,,10,0,0,0,0,66,FL,2013,2013-01-01
1,21,98,2281,,15,0,2,2276,0,5116,GA,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,HI,2013,2013-01-01
0,2,32,8095,,0,0,0,0,0,8129,IA,2013,2013-01-01
0,0,0,0,,0,0,0,0,77,77,ID,2013,2013-01-01
4,0,36,0,,0,0,119,85,0,376,IL,2013,2013-01-01
0,0,0,80,,0,0,0,0,0,104,IN,2013,2013-01-01
0,3,40,0,,20,0,0,1,0,64,KS,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,65,KY,2013,2013-01-01
0,0,0,0,,6,0,0,86,0,92,LA,2013,2013-01-01
0,0,99,332,,9,0,97,88,0,625,MA,2013,2013-01-01
0,0,5656,1063,,492,0,95,272,1,7750,MD,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,ME,2013,2013-01-01
0,1,8752,0,,82,0,12,7,142,9038,MI,2013,2013-01-01
0,1,406,6,,0,0,7,69,0,499,MN,2013,2013-01-01
14,132,0,23446,,0,0,0,0,0,23592,MO,2013,2013-01-01
0,0,0,0,,0,0,0,32,0,32,MS,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,MT,2013,2013-01-01
0,0,490,0,,0,0,0,0,0,508,NC,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,ND,2013,2013-01-01
0,0,0,0,,0,0,0,21,0,21,NE,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,NH,2013,2013-01-01
2,160,1650,4827,,49,0,18,11,0,6781,NJ,2013,2013-01-01
0,12,209,0,,227,0,47,0,0,628,NM,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,NV,2013,2013-01-01
46,172,1118,1876,,57,0,0,98,0,3498,NY,2013,2013-01-01
0,0,3246,0,,176,0,86,559,24,4109,OH,2013,2013-01-01
0,0,0,0,,0,61,62,400,0,631,OK,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,66,OR,2013,2013-01-01
1,0,131,75,,65,0,1579,382,0,2611,PA,2013,2013-01-01
0,0,0,0,,22,0,0,0,0,22,PR,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,RI,2013,2013-01-01
0,0,0,132,,0,0,0,0,0,142,SC,2013,2013-01-01
0,0,0,0,,0,0,56,36,0,102,SD,2013,2013-01-01
0,0,2,0,,0,0,29,0,0,489,TN,2013,2013-01-01
0,0,745,765,,160,25,91,27,0,1965,TX,2013,2013-01-01
0,0,184,1854,,0,0,0,0,0,2062,UT,2013,2013-01-01
0,0,0,60,,0,0,0,0,3,63,VA,2013,2013-01-01
0,0,26,0,,0,0,0,0,0,31,VT,2013,2013-01-01
0,0,36,0,,0,0,0,0,0,42,WA,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,159,WI,2013,2013-01-01
0,0,0,0,,0,0,0,50,0,50,WV,2013,2013-01-01
0,0,0,0,,0,0,0,0,0,0,WY,2013,2013-01-01
0,0,68,0,,0,0,0,109,0,196,AL,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,AR,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,AZ,2014,2014-01-01
0,0,274,185,,44,19,0,588,0,1402,CA,2014,2014-01-01
0,10,306,216,,0,0,1,0,28,705,CO,2014,2014-01-01
0,5,15,914,,0,0,0,0,0,966,CT,2014,2014-01-01
0,0,489,0,,0,0,0,0,0,520,DC,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,DE,2014,2014-01-01
0,0,92,0,,7,0,6,36,0,165,FL,2014,2014-01-01
0,12,106,2714,,2,0,59,2495,0,5545,GA,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,HI,2014,2014-01-01
0,0,103,7443,,0,0,0,0,0,7546,IA,2014,2014-01-01
0,0,0,0,,0,0,0,0,35,35,ID,2014,2014-01-01
2,4,24,24,,0,0,227,90,0,609,IL,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,117,IN,2014,2014-01-01
0,4,0,0,,6,0,1,2,0,13,KS,2014,2014-01-01
0,0,0,15,,0,0,0,0,0,15,KY,2014,2014-01-01
0,0,2,0,,1,0,0,30,0,33,LA,2014,2014-01-01
0,1,8,148,,8,0,2,77,0,244,MA,2014,2014-01-01
0,0,3321,934,,434,0,215,562,0,5883,MD,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,ME,2014,2014-01-01
0,0,7905,40,,16,0,0,62,120,8197,MI,2014,2014-01-01
0,0,163,0,,0,0,15,0,0,215,MN,2014,2014-01-01
30,119,222,20044,,0,0,0,0,0,20437,MO,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,MS,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,MT,2014,2014-01-01
0,1,612,0,,0,0,0,0,0,613,NC,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,ND,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,NE,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,NH,2014,2014-01-01
